FeeID,UserID,BorrowID,Amount
1,67,1,10.00
2,9,6,20.00
3,6,8,6.00
4,73,9,32.00
5,27,10,40.00
6,86,11,24.00
7,58,13,38.00
8,31,15,34.00
9,97,17,6.00
10,11,20,28.00
11,21,21,8.00
12,15,23,6.00
13,99,24,10.00
14,39,25,26.00
15,3,29,14.00
16,97,32,4.00
17,97,37,8.00
18,84,47,30.00
19,46,55,8.00
20,43,57,6.00
21,28,59,14.00
22,50,62,34.00
23,19,66,22.00
24,57,70,22.00
25,99,75,10.00
26,73,78,12.00
27,68,86,22.00
28,73,87,14.00
29,85,88,18.00
30,51,97,2.00
31,62,98,10.00
32,31,100,36.00
33,90,101,6.00
34,60,104,12.00
35,43,112,36.00
36,2,116,10.00
37,76,117,18.00
38,63,120,40.00
39,84,123,24.00
40,84,125,2.00
41,63,127,42.00
42,94,129,2.00
43,89,132,28.00
44,58,133,4.00
45,94,136,8.00
46,75,139,18.00
47,71,142,22.00
48,18,145,36.00
49,29,146,22.00
50,45,150,6.00
51,57,151,40.00
52,46,152,18.00
53,23,154,12.00
54,91,156,20.00
55,35,157,36.00
56,7,159,38.00
57,73,167,36.00
58,79,168,32.00
59,23,169,38.00
60,4,171,6.00
61,27,173,36.00
62,76,174,24.00
63,7,178,40.00
64,97,181,4.00
65,16,186,40.00
66,13,191,42.00
67,11,192,12.00
68,78,193,8.00
69,67,194,8.00
70,91,200,18.00
71,90,201,28.00
72,52,207,10.00
73,13,209,10.00
74,57,219,6.00
75,71,220,6.00
76,44,224,4.00
77,4,225,2.00
78,84,226,22.00
79,3,228,14.00
80,63,230,22.00
81,50,231,12.00
82,72,232,2.00
83,23,234,20.00
84,8,235,4.00
85,23,236,30.00
86,36,238,16.00
87,67,242,38.00
88,82,244,24.00
89,68,245,6.00
90,94,247,26.00
91,3,251,10.00
92,6,252,8.00
93,5,256,10.00
94,51,258,2.00
95,61,259,22.00
96,10,264,16.00
97,58,267,26.00
98,15,268,6.00
99,51,269,16.00
100,35,271,6.00
101,7,274,10.00
102,64,276,10.00
103,4,279,26.00
104,75,284,18.00
105,97,287,38.00
106,5,291,26.00
107,89,292,20.00
108,30,295,42.00
109,44,300,26.00
110,73,301,24.00
111,80,307,38.00
112,91,318,34.00
113,76,319,2.00
114,77,320,24.00
115,7,326,30.00
116,55,328,34.00
117,84,332,16.00
118,24,335,36.00
119,62,342,20.00
120,12,349,18.00
121,44,352,10.00
122,15,353,32.00
123,97,354,28.00
124,60,355,4.00
125,74,358,32.00
126,8,360,6.00
127,67,364,16.00
128,84,366,40.00
129,70,369,2.00
130,10,372,24.00
131,23,375,6.00
132,43,378,30.00
133,52,382,14.00
134,21,384,20.00
135,1,388,28.00
136,81,392,10.00
137,73,394,24.00
138,46,397,22.00
139,10,401,8.00
140,85,407,4.00
141,67,412,12.00
142,73,415,10.00
143,74,418,4.00
144,8,420,2.00
145,2,422,26.00
146,45,423,30.00
147,64,426,4.00
148,94,433,22.00
149,3,436,36.00
150,34,441,24.00
151,70,442,6.00
152,77,444,10.00
153,86,448,38.00
154,45,450,42.00
155,51,451,8.00
156,31,453,8.00
157,76,455,6.00
158,78,457,36.00
159,99,458,38.00
160,8,461,12.00
161,45,462,16.00
162,75,464,14.00
163,67,465,26.00
164,13,470,40.00
165,79,471,14.00
166,97,475,2.00
167,24,476,42.00
168,37,478,32.00
169,82,480,28.00
170,34,481,2.00
171,77,484,10.00
172,97,487,2.00
173,71,495,40.00
174,80,503,38.00
175,81,504,34.00
176,81,514,10.00
177,59,516,8.00
178,59,518,10.00
179,21,520,42.00
180,28,522,12.00
181,19,523,4.00
182,62,528,42.00
183,43,529,28.00
184,18,531,10.00
185,27,535,32.00
186,8,539,4.00
187,61,542,38.00
188,91,548,22.00
189,19,549,10.00
190,67,550,4.00
191,86,551,10.00
192,20,556,10.00
193,76,569,34.00
194,71,574,4.00
195,55,578,2.00
196,37,582,20.00
197,90,594,38.00
198,94,595,18.00
199,50,597,10.00
200,72,604,34.00
201,99,605,22.00
202,44,609,20.00
203,10,613,4.00
204,72,620,4.00
205,75,621,18.00
206,63,624,8.00
207,20,625,12.00
208,34,629,6.00
209,70,635,26.00
210,19,639,22.00
211,2,640,4.00
212,36,644,16.00
213,80,646,32.00
214,46,653,28.00
215,36,658,32.00
216,31,659,34.00
217,29,660,2.00
218,95,668,38.00
219,91,672,12.00
220,57,677,26.00
221,52,686,42.00
222,71,694,34.00
223,84,700,16.00
224,18,703,10.00
225,91,706,30.00
226,84,707,26.00
227,9,708,40.00
228,70,710,10.00
229,34,711,4.00
230,95,716,42.00
231,42,718,6.00
232,51,721,40.00
233,27,731,28.00
234,9,734,26.00
235,46,738,2.00
236,18,740,8.00
237,79,741,2.00
238,100,742,32.00
239,10,743,26.00
240,5,749,18.00
241,29,754,8.00
242,55,755,10.00
243,15,760,24.00
244,20,763,8.00
245,76,764,16.00
246,8,769,10.00
247,77,771,40.00
248,16,772,4.00
249,79,778,2.00
250,95,781,38.00
251,45,795,30.00
252,59,799,12.00
253,79,800,6.00
254,1,803,10.00
255,5,816,4.00
256,29,820,6.00
257,29,821,22.00
258,76,822,34.00
259,2,824,22.00
260,70,828,22.00
261,86,833,10.00
262,97,835,22.00
263,13,845,20.00
264,63,848,14.00
265,31,850,22.00
266,82,858,22.00
267,52,862,8.00
268,50,865,10.00
269,75,869,6.00
270,89,870,18.00
271,75,876,4.00
272,4,885,6.00
273,97,895,32.00
274,3,902,10.00
275,89,905,42.00
276,63,907,20.00
277,95,915,6.00
278,4,918,26.00
279,56,919,40.00
280,100,922,4.00
281,17,926,6.00
282,100,928,2.00
283,76,929,32.00
284,2,931,42.00
285,84,938,40.00
286,6,941,28.00
287,19,944,18.00
288,37,945,32.00
289,52,947,26.00
290,75,953,2.00
291,71,958,4.00
292,46,961,6.00
293,13,963,10.00
294,78,968,2.00
295,60,969,8.00
296,24,970,2.00
297,7,974,8.00
298,36,975,2.00
299,60,976,20.00
300,64,977,2.00
301,52,980,12.00
302,63,982,42.00
303,23,984,28.00
304,56,988,18.00
305,11,991,12.00
306,89,994,6.00
307,82,996,4.00
308,57,997,26.00
309,55,999,32.00
310,100,1009,8.00
311,24,1010,8.00
312,61,1018,20.00
313,81,1019,6.00
314,74,1030,2.00
315,15,1037,16.00
316,7,1038,34.00
317,56,1045,2.00
318,37,1046,18.00
319,6,1048,24.00
320,73,1051,8.00
