BookID,Title,Author,Genre,ISBN,TotalCopies,AvailableCopies,PublishedYear
1,Gilead,Marilynne Robinson,Fiction,9780002005883,10,4,2004
2,Spider's Web,Charles Osborne;Agatha Christie,Detective and mystery stories,9780002261982,10,3,2000
3,The One Tree,Stephen R. Donaldson,American fiction,9780006163831,10,7,1982
4,Rage of angels,Sidney Sheldon,Fiction,9780006178736,10,2,1993
5,The Four Loves,Clive Staples Lewis,Christian life,9780006280897,10,3,2002
6,The Problem of Pain,Clive Staples Lewis,Christian life,9780006280934,10,4,2002
7,An Autobiography,Agatha Christie,"Authors, English",9780006353287,10,1,1977
8,Empires of the Monsoon,Richard Hall,"Africa, East",9780006380832,10,4,1998
9,The Gap Into Madness,Stephen R. Donaldson,"Hyland, Morn (Fictitious character)",9780006470229,10,5,1994
10,Master of the Game,Sidney Sheldon,Adventure stories,9780006472612,10,8,1982
11,If Tomorrow Comes,Sidney Sheldon,Adventure stories,9780006479673,10,8,1994
12,Assassin's Apprentice,Robin Hobb,American fiction,9780006480099,10,1,1996
13,Warhost of Vastmark,Janny Wurts,Fiction,9780006482079,10,1,1995
14,The Once and Future King,Terence Hanbury White,Arthurian romances,9780006483014,10,2,1996
15,Murder in LaMut,Raymond E. Feist;Joel Rosenberg,Adventure stories,9780006483892,10,8,2003
16,Jimmy the Hand,Raymond E. Feist;S. M. Stirling,Fantasy fiction,9780006483908,10,10,2003
17,Witness for the Prosecution & Selected Plays,Agatha Christie,English drama,9780006490456,10,9,1995
18,The Little House,Philippa Gregory,Country life,9780006496434,10,1,1998
19,Mystical Paths,Susan Howatch,English fiction,9780006496878,10,3,1996
20,Glittering Images,Susan Howatch,English fiction,9780006496892,10,8,1996
21,Glamorous Powers,Susan Howatch,Clergy,9780006496922,10,8,1996
22,The Mad Ship,Robin Hobb,Fantasy fiction,9780006498865,10,3,2000
23,Post Captain,Patrick O'Brian,"Aubrey, Jack (Fictitious character)",9780006499169,10,6,1996
24,The Reverse of the Medal,Patrick O'Brian,Adventure stories,9780006499268,10,10,1997
25,Miss Marple,Agatha Christie,"Detective and mystery stories, English",9780006499626,10,5,1997
26,The Years of Rice and Salt,Kim Stanley Robinson,Black Death,9780006511489,10,3,2003
27,Spares,Michael Marshall Smith,Human cloning,9780006512677,10,1,1998
28,Gravity,Tess Gerritsen,Science fiction,9780006513087,10,2,2004
29,The Wise Woman,Philippa Gregory,Great Britain,9780006514640,10,3,2002
